INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,SMILES,MS_READY_SMILES,QSAR_READY_SMILES
100-00-5,CASRN,DTXSID5020281,1-Chloro-4-nitrobenzene,[O-][N+](=O)C1=CC=C(Cl)C=C1,[O-][N+](=O)C1=CC=C(Cl)C=C1,[O-][N+](=O)C1=CC=C(Cl)C=C1
1000-05-1,CASRN,DTXSID8044759,"1,1,3,3,5,5,7,7-Octamethyltetrasiloxane",C[SiH](C)O[Si](C)(C)O[Si](C)(C)O[SiH](C)C,N/A,C[SiH](C)O[Si](C)(C)O[Si](C)(C)O[SiH](C)C
10001-13-5,CASRN,DTXSID4046288,Pexantel,CN1CCN(CC1)C(=O)C1CCCCC1,CN1CCN(CC1)C(=O)C1CCCCC1,CN1CCN(CC1)C(=O)C1CCCCC1
100-01-6,CASRN,DTXSID8020961,4-Nitrobenzenamine,NC1=CC=C(C=C1)[N+]([O-])=O,NC1=CC=C(C=C1)[N+]([O-])=O,NC1=CC=C(C=C1)[N+]([O-])=O
100-02-7,CASRN,DTXSID0021834,4-Nitrophenol,OC1=CC=C(C=C1)[N+]([O-])=O,OC1=CC=C(C=C1)[N+]([O-])=O,OC1=CC=C(C=C1)[N+]([O-])=O
10004-44-1,CASRN,DTXSID3032622,Hymexazol,CC1=CC(=O)NO1,CC1=CC(=O)NO1,CC1=CC(=O)NO1
100-06-1,CASRN,DTXSID2044347,4'-Methoxyacetophenone,COC1=CC=C(C=C1)C(C)=O,COC1=CC=C(C=C1)C(C)=O,COC1=CC=C(C=C1)C(C)=O
100-10-7,CASRN,DTXSID5021835,4-Dimethylaminobenzaldehyde,CN(C)C1=CC=C(C=O)C=C1,CN(C)C1=CC=C(C=O)C=C1,CN(C)C1=CC=C(C=O)C=C1
100-11-8,CASRN,DTXSID7049392,4-Nitrobenzylbromide,[O-][N+](=O)C1=CC=C(CBr)C=C1,[O-][N+](=O)C1=CC=C(CBr)C=C1,[O-][N+](=O)C1=CC=C(CBr)C=C1
100-14-1,CASRN,DTXSID4025745,4-Nitrobenzyl chloride,[O-][N+](=O)C1=CC=C(CCl)C=C1,[O-][N+](=O)C1=CC=C(CCl)C=C1,[O-][N+](=O)C1=CC=C(CCl)C=C1
100-15-2,CASRN,DTXSID7025635,N-Methyl-4-nitroaniline,CNC1=CC=C(C=C1)[N+]([O-])=O,CNC1=CC=C(C=C1)[N+]([O-])=O,CNC1=CC=C(C=C1)[N+]([O-])=O
10016-20-3,CASRN,DTXSID7030698,alpha-Cyclodextrin,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,[H]C12OC(CO)C([H])(OC3([H])OC(CO)C([H])(OC4([H])OC(CO)C([H])(OC5([H])OC(CO)C([H])(OC6([H])OC(CO)C([H])(OC7([H])OC(CO)C([H])(O1)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O)C(O)C2O,[H]C12OC(CO)C([H])(OC3([H])OC(CO)C([H])(OC4([H])OC(CO)C([H])(OC5([H])OC(CO)C([H])(OC6([H])OC(CO)C([H])(OC7([H])OC(CO)C([H])(O1)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O)C(O)C2O
100-18-5,CASRN,DTXSID2026652,"1,4-Diisopropylbenzene",CC(C)C1=CC=C(C=C1)C(C)C,CC(C)C1=CC=C(C=C1)C(C)C,CC(C)C1=CC=C(C=C1)C(C)C
100-19-6,CASRN,DTXSID1025724,4-Nitroacetophenone,CC(=O)C1=CC=C(C=C1)[N+]([O-])=O,CC(=O)C1=CC=C(C=C1)[N+]([O-])=O,CC(=O)C1=CC=C(C=C1)[N+]([O-])=O
100-20-9,CASRN,DTXSID7026653,"1,4-Benzenedicarbonyl dichloride",ClC(=O)C1=CC=C(C=C1)C(Cl)=O,ClC(=O)C1=CC=C(C=C1)C(Cl)=O,ClC(=O)C1=CC=C(C=C1)C(Cl)=O
100-21-0,CASRN,DTXSID6026080,Terephthalic acid,OC(=O)C1=CC=C(C=C1)C(O)=O,OC(=O)C1=CC=C(C=C1)C(O)=O,OC(=O)C1=CC=C(C=C1)C(O)=O
100-22-1,CASRN,DTXSID5026124,"N,N,N',N'-Tetramethyl-p-phenylenediamine",CN(C)C1=CC=C(C=C1)N(C)C,CN(C)C1=CC=C(C=C1)N(C)C,CN(C)C1=CC=C(C=C1)N(C)C
10022-28-3,CASRN,DTXSID1047520,"1,1-Dimethoxyoctane",CCCCCCCC(OC)OC,CCCCCCCC(OC)OC,CCCCCCCC(OC)OC
10022-31-8,CASRN,DTXSID8049200,Barium nitrate,[Ba++].[O-][N+]([O-])=O.[O-][N+]([O-])=O,N/A,N/A
10023-54-8,CASRN,DTXSID7046205,Aminoquinol,CCN(CC)CCCC(C)NC1=C2C=CC(Cl)=CC2=NC(C=CC2=CC=CC=C2Cl)=C1,CCN(CC)CCCC(C)NC1=C2C=CC(Cl)=CC2=NC(C=CC2=CC=CC=C2Cl)=C1,CCN(CC)CCCC(C)NC1=C2C=CC(Cl)=CC2=NC(C=CC2=CC=CC=C2Cl)=C1
10024-93-8,CASRN,DTXSID7044760,Neodymium(III) chloride,Cl[Nd](Cl)Cl,N/A,N/A
100-25-4,CASRN,DTXSID0021836,"1,4-Dinitrobenzene",[O-][N+](=O)C1=CC=C(C=C1)[N+]([O-])=O,[O-][N+](=O)C1=CC=C(C=C1)[N+]([O-])=O,[O-][N+](=O)C1=CC=C(C=C1)[N+]([O-])=O
10025-74-8,CASRN,DTXSID8041909,Dysprosium(III) chloride,[Cl-].[Cl-].[Cl-].[Dy+3],N/A,N/A
10025-82-8,CASRN,DTXSID8033566,Indium trichloride,Cl[In](Cl)Cl,N/A,N/A
10025-87-3,CASRN,DTXSID5029710,Phosphoric trichloride,ClP(Cl)(Cl)=O,N/A,N/A
10025-91-9,CASRN,DTXSID4044161,Antimony trichloride,Cl[Sb](Cl)Cl,N/A,N/A
10026-13-8,CASRN,DTXSID9033896,Phosphorus pentachloride,ClP(Cl)(Cl)(Cl)Cl,N/A,N/A
10026-24-1,CASRN,DTXSID7020340,Cobalt sulfate heptahydrate,O.O.O.O.O.O.O.[Co++].[O-]S([O-])(=O)=O,N/A,N/A
1002-69-3,CASRN,DTXSID5027352,1-Chlorodecane,CCCCCCCCCCCl,CCCCCCCCCCCl,CCCCCCCCCCCl
100-27-6,CASRN,DTXSID7025764,2-(4-Nitrophenyl)ethanol,OCCC1=CC=C(C=C1)[N+]([O-])=O,OCCC1=CC=C(C=C1)[N+]([O-])=O,OCCC1=CC=C(C=C1)[N+]([O-])=O
1002-84-2,CASRN,DTXSID2021652,Pentadecanoic acid,CCCCCCCCCCCCCCC(O)=O,CCCCCCCCCCCCCCC(O)=O,CCCCCCCCCCCCCCC(O)=O
100286-90-6,CASRN,DTXSID6045953,Irinotecan hydrochloride,Cl.CCC1=C2CN3C(=CC4=C(COC(=O)[C@]4(O)CC)C3=O)C2=NC2=CC=C(OC(=O)N3CCC(CC3)N3CCCCC3)C=C12,CCC1=C2C=C(OC(=O)N3CCC(CC3)N3CCCCC3)C=CC2=NC2=C1CN1C2=CC2=C(COC(=O)C2(O)CC)C1=O,CCC1=C2C=C(OC(=O)N3CCC(CC3)N3CCCCC3)C=CC2=NC2=C1CN1C2=CC2=C(COC(=O)C2(O)CC)C1=O
100-29-8,CASRN,DTXSID7026655,1-Ethoxy-4-nitrobenzene,CCOC1=CC=C(C=C1)[N+]([O-])=O,CCOC1=CC=C(C=C1)[N+]([O-])=O,CCOC1=CC=C(C=C1)[N+]([O-])=O
100299-08-9,CASRN,DTXSID7046623,Pemirolast potassium,[K+].CC1=CC=CN2C(=O)C(=CN=C12)C1=NN=N[N-]1,CC1=CC=CN2C(=O)C(=CN=C12)C1=NN=NN1,CC1=CC=CN2C(=O)C(=CN=C12)C1=NN=NN1
10030-73-6,CASRN,DTXSID7021603,(E)-Hexadec-9-enoic acid,CCCCCC\C=C\CCCCCCCC(O)=O,CCCCCCC=CCCCCCCCC(O)=O,CCCCCCC=CCCCCCCCC(O)=O
10032-15-2,CASRN,DTXSID4047599,Hexyl 2-methylbutanoate,CCCCCCOC(=O)C(C)CC,CCCCCCOC(=O)C(C)CC,CCCCCCOC(=O)C(C)CC
10034-93-2,CASRN,DTXSID8020703,Hydrazine sulfate,NN.OS(O)(=O)=O,N/A,N/A
100-36-7,CASRN,DTXSID7057606,2-Aminoethyldiethylamine,CCN(CC)CCN,CCN(CC)CCN,CCN(CC)CCN
100-37-8,CASRN,DTXSID5021837,"N,N-Diethylethanolamine",CCN(CC)CCO,CCN(CC)CCO,CCN(CC)CCO
100-39-0,CASRN,DTXSID8024658,alpha-Bromotoluene,BrCC1=CC=CC=C1,BrCC1=CC=CC=C1,BrCC1=CC=CC=C1
10039-54-0,CASRN,DTXSID2025424,Hydroxylamine sulfate (2:1),[NH3+]O.[NH3+]O.[O-]S([O-])(=O)=O,N/A,N/A
100-40-3,CASRN,DTXSID3021437,4-Vinylcyclohexene,C=CC1CCC=CC1,C=CC1CCC=CC1,C=CC1CCC=CC1
