,Assay,FingerPrints,Algorithms,AUC_ROC,AUC_PR,F1,B_A,Precision,Recall,Specificity,TP,TN,FP,FN
0,TOX21_AhR_LUC_Agonist,MACCS,MLP,0.816,0.2122,0.2599,0.6946,0.1788,0.4822,0.9069587628865979,156.0,7038.0,722.0,168.0
1,TOX21_AhR_LUC_Agonist,MACCS,GBT,0.8259,0.2082,0.284,0.7056,0.1999,0.4944,0.916881443298969,160.0,7115.0,645.0,164.0
2,TOX21_AhR_LUC_Agonist,MACCS,RF,0.8361,0.2575,0.3108,0.6684,0.2692,0.3803,0.9565721649484537,123.0,7423.0,337.0,201.0
3,TOX21_AhR_LUC_Agonist,MACCS,LR,0.8178,0.1838,0.1968,0.7468,0.1138,0.7316,0.7621134020618556,237.0,5914.0,1846.0,87.0
4,TOX21_AhR_LUC_Agonist,MACCS,KNN,0.7776,0.3601,0.2037,0.7428,0.1191,0.7041,0.7815721649484536,228.0,6065.0,1695.0,96.0
5,TOX21_AhR_LUC_Agonist,MACCS,NB,0.606,0.5018,0.0917,0.5837,0.0481,0.957,0.2104381443298969,310.0,1633.0,6127.0,14.0
6,TOX21_AhR_LUC_Agonist,Morgan,MLP,0.7734,0.1809,0.267,0.6936,0.1867,0.4728,0.9144248014347938,153.0,7138.0,668.0,171.0
7,TOX21_AhR_LUC_Agonist,Morgan,GBT,0.8052,0.2192,0.2532,0.6826,0.1759,0.4537,0.9114783499871894,147.0,7115.0,691.0,177.0
8,TOX21_AhR_LUC_Agonist,Morgan,RF,0.8355,0.2609,0.3333,0.659,0.3216,0.3488,0.969126313092493,113.0,7565.0,241.0,211.0
9,TOX21_AhR_LUC_Agonist,Morgan,LR,0.8002,0.1966,0.2553,0.7222,0.1653,0.5622,0.8821419420958238,182.0,6886.0,920.0,142.0
10,TOX21_AhR_LUC_Agonist,Morgan,KNN,0.7777,0.3484,0.173,0.7261,0.0982,0.7314,0.7207276454009736,237.0,5626.0,2180.0,87.0
11,TOX21_AhR_LUC_Agonist,Morgan,NB,0.5881,0.2304,0.123,0.5881,0.0742,0.3613,0.8148859851396362,117.0,6361.0,1445.0,207.0
12,TOX21_AhR_LUC_Agonist,Rdkit,MLP,0.8009,0.1874,0.2826,0.7131,0.195,0.5148,0.9115157732751987,167.0,7108.0,690.0,157.0
13,TOX21_AhR_LUC_Agonist,Rdkit,GBT,0.8246,0.2127,0.3149,0.6824,0.2545,0.4159,0.9488330341113106,135.0,7399.0,399.0,189.0
14,TOX21_AhR_LUC_Agonist,Rdkit,RF,0.8382,0.2372,0.3155,0.6539,0.2946,0.3418,0.9658886894075404,111.0,7532.0,266.0,213.0
15,TOX21_AhR_LUC_Agonist,Rdkit,LR,0.786,0.1708,0.2624,0.7118,0.1748,0.5272,0.8965119261349064,171.0,6991.0,807.0,153.0
16,TOX21_AhR_LUC_Agonist,Rdkit,KNN,0.7789,0.3807,0.21,0.7505,0.1232,0.7126,0.7884072839189535,231.0,6148.0,1650.0,93.0
17,TOX21_AhR_LUC_Agonist,Rdkit,NB,0.5574,0.3018,0.0877,0.5463,0.0475,0.5737,0.5189792254424211,186.0,4047.0,3751.0,138.0
18,TOX21_AhR_LUC_Agonist,Layerd,MLP,0.8021,0.2014,0.277,0.7064,0.1922,0.5006,0.9122514432328416,162.0,7111.0,684.0,162.0
19,TOX21_AhR_LUC_Agonist,Layerd,GBT,0.8227,0.2185,0.3027,0.6966,0.2273,0.4574,0.9357280307889673,148.0,7294.0,501.0,176.0
20,TOX21_AhR_LUC_Agonist,Layerd,RF,0.8351,0.2651,0.3394,0.6723,0.3074,0.3804,0.9642078255291854,123.0,7516.0,279.0,201.0
21,TOX21_AhR_LUC_Agonist,Layerd,LR,0.7787,0.1607,0.2552,0.7085,0.1689,0.5246,0.8923669018601668,170.0,6956.0,839.0,154.0
22,TOX21_AhR_LUC_Agonist,Layerd,KNN,0.7687,0.3601,0.1959,0.737,0.1139,0.7006,0.7733162283515074,227.0,6028.0,1767.0,97.0
23,TOX21_AhR_LUC_Agonist,Layerd,NB,0.58,0.3702,0.0956,0.5791,0.0514,0.6855,0.47261064785118667,222.0,3684.0,4111.0,102.0
