,valid_AUC,valid_AUC_PR,valid_Recall,valid_F1,valid_AUC_tuned,valid_AUC_PR_tuned,valid_Recall_tuned,valid_F1_tuned,test_AUC,test_AUC_PR,test_Recall,test_F1,test_AUC_tuned,test_AUC_PR_tuned,test_Recall_tuned,test_F1_tuned
TOX21_VDR_BLA_agonist_ratio,0.6238692457624787,0.0215064022046056,0.0,0.0,0.6238692457624787,0.0215064022046056,0.0,0.0,0.6512261580381471,0.0048460144927536,0.0,0.0,0.6512261580381471,0.0048460144927536,0.0,0.0
TOX21_VDR_BLA_antagonist_ratio,0.7864169032705093,0.1213869729214975,0.1166666666666666,0.0888888888888888,0.7864169032705093,0.1213869729214975,0.1166666666666666,0.0888888888888888,0.9399727148703956,0.0748525705972514,0.0,0.0,0.9399727148703956,0.0748525705972514,0.0,0.0
TOX21_HSE_BLA_agonist_ratio,0.7424141783271937,0.1139684820201297,0.1476190476190476,0.1673627298627298,0.748501544486857,0.1196732588421542,0.1602579365079365,0.1834440647072226,0.7781034482758621,0.1109774490583602,0.25,0.2666666666666666,0.7781034482758621,0.1109774490583602,0.25,0.2666666666666666
TOX21_ESRE_BLA_ratio,0.7339480267153295,0.2995132107286875,0.225,0.2945454545454545,0.7339480267153295,0.2995132107286875,0.225,0.2945454545454545,0.9263565891472868,0.6719421005693901,0.6666666666666666,0.8,0.9263565891472868,0.6719421005693901,0.6666666666666666,0.8
TOX21_FXR_BLA_agonist_ratio,0.72250942806586,0.1077871243307577,0.0,0.0,0.6885904936754802,0.0569394717324424,0.2,0.1166666666666666,0.9550408719346049,0.0227272727272727,0.0,0.0,0.9550408719346049,0.0227272727272727,0.0,0.0
TOX21_FXR_BLA_antagonist_ratio,0.7240760045082368,0.165369820386704,0.1424465240641711,0.1661746207009364,0.7240760045082368,0.165369820386704,0.1424465240641711,0.1661746207009364,0.6311213058785874,0.0739114704882747,0.0,0.0,0.6311213058785874,0.0739114704882747,0.0,0.0
TOX21_ARE_BLA_agonist_ratio,0.7023394273697257,0.2330277328626107,0.2840546400056955,0.2648203319780149,0.70622381189594,0.2335220304039939,0.3171801409305027,0.2771212220294924,0.7074912891986063,0.2115680504351305,0.2571428571428571,0.2535211267605634,0.7074912891986063,0.2115680504351305,0.2571428571428571,0.2535211267605634
TOX21_PPARd_BLA_agonist_ratio,0.7434137955117156,0.1592703420127998,0.1833333333333333,0.1744444444444444,0.8174428746026237,0.2047866163620319,0.2166666666666666,0.2299999999999999,0.9933880528955767,0.4761904761904761,0.3333333333333333,0.5,0.9933880528955767,0.4761904761904761,0.3333333333333333,0.5
TOX21_PPARd_BLA_antagonist_ratio,0.6549136162835888,0.0781480894875689,0.119047619047619,0.1435064935064935,0.6549136162835888,0.0781480894875689,0.119047619047619,0.1435064935064935,0.7252926997245179,0.125211731559482,0.25,0.3076923076923077,0.7252926997245179,0.125211731559482,0.25,0.3076923076923077
TOX21_PPARg_BLA_antagonist_ratio,0.8326769518181683,0.2091035618867142,0.2287560644811284,0.2570736057613844,0.8326769518181683,0.2091035618867142,0.2287560644811284,0.2570736057613844,0.8450204272989084,0.1782133459984194,0.0952380952380952,0.1176470588235294,0.8450204272989084,0.1782133459984194,0.0952380952380952,0.1176470588235294
